id_provincia_indec,fecha,puestos,masa
10.0,2015-09-01,92261.0,1123701592.0
10.0,2015-10-01,92831.0,1140929807.0
10.0,2015-11-01,91489.0,1142197994.0
10.0,2015-12-01,91060.0,1705965267.0
10.0,2016-01-01,90263.0,1162856019.0
10.0,2016-02-01,90705.0,1190164751.0
10.0,2016-03-01,91204.0,1216238391.0
10.0,2016-04-01,90385.0,1242834611.0
10.0,2016-05-01,89758.0,1297759483.0
10.0,2016-06-01,89776.0,1940465451.0
10.0,2016-07-01,89474.0,1407370097.0
10.0,2016-08-01,89410.0,1442730657.0
10.0,2016-09-01,89438.0,1429970118.0
10.0,2016-10-01,89730.0,1468838815.0
10.0,2016-11-01,89997.0,1501817574.0
10.0,2016-12-01,90081.0,2309986521.0
10.0,2017-01-01,90516.0,1572173085.0
10.0,2017-02-01,91446.0,1557455592.0
10.0,2017-03-01,91657.0,1561628451.0
10.0,2017-04-01,91061.0,1582156494.0
10.0,2017-05-01,91024.0,1714377795.0
10.0,2017-06-01,91147.0,2531632297.0
10.0,2017-07-01,90868.0,1792592789.0
10.0,2017-08-01,90800.0,1840039387.0
10.0,2017-09-01,90365.0,1863497116.0
10.0,2017-10-01,90824.0,1906857606.0
10.0,2017-11-01,90680.0,1920886343.0
10.0,2017-12-01,91021.0,2818768449.0
10.0,2018-01-01,90294.0,1994709914.0
10.0,2018-02-01,91140.0,1917560185.0
10.0,2018-03-01,91388.0,2045049324.0
10.0,2018-04-01,91346.0,2113854677.0
10.0,2018-05-01,91071.0,2161488700.0
10.0,2018-06-01,91112.0,3155649676.0
10.0,2018-07-01,90651.0,2383503271.0
10.0,2018-08-01,90168.0,2314983260.0
10.0,2018-09-01,89572.0,2371947067.0
10.0,2018-10-01,89538.0,2387823693.0
10.0,2018-11-01,89477.0,2499631014.0
10.0,2018-12-01,89151.0,3796200602.0
10.0,2019-01-01,88986.0,2681816538.0
10.0,2019-02-01,89928.0,2645912556.0
10.0,2019-03-01,89850.0,2944869745.0
10.0,2019-04-01,89381.0,2954374217.0
10.0,2019-05-01,89531.0,2986601138.0
10.0,2019-06-01,89797.0,4567285469.0
10.0,2019-07-01,89706.0,3238304692.0
10.0,2019-08-01,89975.0,3388222858.0
10.0,2019-09-01,89845.0,3477526171.0
10.0,2019-10-01,90932.0,3724561149.0
10.0,2019-11-01,90643.0,3852392042.0
10.0,2019-12-01,90928.0,5856640530.0
10.0,2020-01-01,90848.0,4225531395.0
10.0,2020-02-01,92001.0,4216538734.0
10.0,2020-03-01,92167.0,4272530272.0
10.0,2020-04-01,90447.0,4128793491.0
10.0,2020-05-01,90072.0,4169998220.0
10.0,2020-06-01,90065.0,6114644872.0
10.0,2020-07-01,89143.0,4299356780.0
10.0,2020-08-01,89217.0,4347045954.0
10.0,2020-09-01,89168.0,4368202438.0
10.0,2020-10-01,87823.0,4696597333.0
10.0,2020-11-01,88375.0,4799211939.0
10.0,2020-12-01,88372.0,7623914097.0
10.0,2021-01-01,89810.0,5470779012.0
